Date, Open, High, Low, Close
04/20/18, 201.06, 202.01, 200.71, 201.92
04/19/18, 203.88, 203.92, 201.47, 201.86
04/18/18, 200.82, 202.98, 200.82, 202.97
04/17/18, 199.24, 199.60, 198.57, 199.38
04/16/18, 198.98, 200.43, 198.98, 199.55
04/13/18, 199.32, 200.20, 199.30, 199.70
04/12/18, 197.83, 199.37, 197.79, 199.30
04/11/18, 197.62, 199.55, 197.36, 198.83
04/10/18, 196.20, 197.16, 195.42, 197.11
04/09/18, 193.02, 195.13, 193.02, 194.97
04/06/18, 192.74, 193.90, 191.98, 192.25
04/05/18, 192.30, 193.85, 192.24, 193.81
04/04/18, 190.83, 192.46, 190.42, 192.34
04/03/18, 193.47, 193.97, 193.03, 193.21
04/02/18, 196.36, 196.45, 193.32, 193.38
03/29/18, 194.63, 195.81, 194.30, 195.36
03/28/18, 194.65, 194.97, 193.80, 194.31
03/27/18, 196.22, 196.69, 195.27, 195.57
03/26/18, 196.40, 196.53, 195.62, 195.77
03/23/18, 195.03, 196.27, 194.97, 196.26
03/22/18, 196.16, 196.29, 194.99, 195.23
03/21/18, 195.30, 196.48, 194.99, 196.02
03/20/18, 193.58, 195.03, 193.56, 194.15
03/19/18, 193.84, 194.15, 192.72, 192.90
03/16/18, 193.84, 194.64, 193.18, 194.46
03/15/18, 194.86, 194.92, 193.61, 193.89
03/14/18, 194.80, 195.13, 193.76, 194.49
03/13/18, 194.63, 195.50, 193.72, 194.28
03/12/18, 194.50, 195.05, 193.77, 194.53
03/09/18, 193.94, 195.21, 193.75, 195.15
03/08/18, 194.51, 195.01, 193.49, 193.66
03/07/18, 196.36, 196.52, 194.12, 194.44
03/06/18, 197.81, 197.92, 196.47, 196.76
03/05/18, 194.15, 196.69, 194.14, 196.67
03/02/18, 193.75, 194.30, 193.01, 194.12
03/01/18, 192.97, 194.16, 192.19, 193.95
02/28/18, 195.51, 196.11, 193.84, 193.95
02/27/18, 196.37, 196.39, 195.08, 195.39
02/26/18, 196.72, 197.23, 195.69, 196.75
02/23/18, 195.14, 196.28, 195.04, 195.99
02/22/18, 193.60, 195.51, 193.59, 195.27
02/21/18, 193.40, 194.28, 193.29, 194.17
02/20/18, 194.15, 194.74, 193.59, 193.67
02/16/18, 193.62, 193.92, 192.79, 193.58
02/15/18, 192.22, 193.52, 191.53, 193.46
02/14/18, 189.20, 192.41, 188.17, 192.39
02/13/18, 189.33, 190.18, 188.63, 189.84
02/12/18, 190.01, 190.29, 189.06, 189.08
02/09/18, 190.60, 191.14, 187.35, 188.51
02/08/18, 192.24, 192.98, 191.43, 191.77
02/07/18, 194.56, 195.03, 191.93, 192.34
02/06/18, 194.54, 195.69, 194.34, 194.75
02/05/18, 196.35, 197.09, 195.30, 195.67
02/02/18, 198.25, 198.74, 196.51, 198.35
02/01/18, 197.44, 198.36, 197.25, 198.35
